"Location,1950–1955,1955–1960,1960–1965,1965–1970,1970–1975,1975–1980,1980–1985,1985–1990,1990–1995,1995–2000,2000–2005,2005–2010,2010–2015"
"Kenya,42.30,44.73,48.02,50.75,53.68,56.32,58.76,58.62,55.94,52.38,52.73,59.72,65.40"
"Kiribati,46.38,47.99,50.63,53.03,55.54,56.64,57.33,59.14,61.59,63.32,64.55,65.10,65.69"
"Kuwait,53.55,58.26,62.02,64.88,67.07,68.71,70.32,71.63,72.42,72.95,73.34,73.71,74.29"
"Kyrgyzstan,52.83,55.08,57.35,59.57,61.25,62.38,64.03,66.06,66.24,65.93,66.87,67.49,70.27"
"Laos,40.93,42.43,43.98,45.48,48.40,49.89,52.37,54.85,57.53,60.34,63.15,65.40,67.17"
"Latvia,62.40,67.57,70.07,70.46,69.99,68.92,69.08,70.41,67.68,68.70,70.75,71.55,73.92"
"Lebanon,60.46,62.43,64.01,65.36,66.70,67.59,68.36,69.55,71.04,73.23,75.57,77.73,78.94"
"Lesotho,42.15,45.08,47.80,48.52,49.80,52.24,55.28,57.33,59.70,52.74,45.62,49.04,52.51"
"Liberia,33.13,34.19,35.39,37.92,40.78,44.52,46.97,47.33,47.68,52.59,52.39,58.11,60.70"
"Lithuania,60.83,66.88,69.88,71.28,71.19,70.67,70.53,71.57,69.73,70.25,71.62,71.86,73.99"
"Luxembourg,65.96,67.55,69.12,69.78,70.24,71.45,72.89,74.49,75.77,76.99,78.32,79.51,81.15"
"Libya,36.67,38.99,46.88,53.31,58.39,62.46,65.55,67.52,69.35,70.18,70.81,71.82,71.47"
"Macau,61.00,63.58,66.00,68.09,70.66,73.06,74.83,76.56,78.05,79.78,80.99,82.06,83.29"
"North Macedonia,54.90,58.96,62.12,65.02,67.31,68.46,68.91,70.67,71.54,72.65,73.78,74.17,75.15"
"Madagascar,36.32,38.75,41.17,43.54,45.97,48.08,49.66,49.92,52.66,56.68,60.02,62.23,64.50"
"Malawi,36.26,37.21,38.42,39.50,41.76,43.78,45.57,46.31,46.67,46.56,47.30,53.38,60.71"
"Malaysia,54.80,57.94,60.88,63.34,65.44,67.24,68.78,70.11,71.27,72.30,73.21,73.71,74.73"
"Maldives,34.47,36.09,38.98,42.42,46.24,50.66,55.49,59.29,63.53,67.63,72.15,75.59,76.30"
"Mali,26.96,27.98,28.61,30.79,34.20,37.71,41.55,44.51,46.57,46.75,49.96,54.03,56.24"
"Malta,66.11,67.83,69.34,70.73,72.02,73.22,74.38,75.49,76.54,77.53,78.49,79.42,80.31"
"Martinique,55.59,58.87,61.86,64.63,67.28,69.70,71.88,73.86,75.69,77.38,78.95,80.09,81.19"
"Mauritania,38.59,41.72,45.19,47.93,50.28,52.73,55.76,57.77,58.89,59.84,60.27,61.32,62.64"
"Mauritius,50.19,55.74,61.23,62.96,63.55,65.58,68.10,68.49,70.28,70.36,72.09,72.75,74.13"
"Mayotte,47.20,52.77,57.03,60.69,63.85,66.59,68.99,71.15,73.11,74.87,76.49,77.96,79.34"
"Mexico,50.72,55.30,58.50,60.32,62.61,65.34,67.76,69.86,71.85,73.72,74.94,75.72,76.49"
"Moldova,59.04,61.07,62.87,64.64,65.17,65.15,65.10,67.53,67.30,66.60,67.62,68.25,70.95"
"Mongolia,43.18,46.10,50.73,53.87,56.43,56.85,57.30,59.60,60.75,61.81,64.08,66.14,68.47"
"Montenegro,59.77,62.11,65.61,68.35,71.27,72.52,73.62,74.17,74.73,73.40,73.40,74.19,76.39"
"Morocco,45.67,47.45,49.52,51.64,53.53,55.74,59.58,63.19,65.98,67.65,69.95,72.88,74.87"
"Mozambique,31.29,33.79,36.18,38.14,40.37,42.21,41.47,42.33,43.90,47.21,49.56,53.24,56.08"
"Myanmar,44.20,49.62,51.88,53.98,55.95,57.83,55.95,57.83,59.63,61.28,62.94,64.26,66.01"
"Namibia,41.75,45.27,48.43,51.20,53.52,56.63,58.34,60.67,61.52,58.11,53.83,54.98,61.75"
"Nepal,34.01,34.56,36.20,39.08,42.02,44.93,48.34,52.13,56.43,60.50,64.04,66.79,68.91"
"Netherlands,71.93,72.94,73.46,73.64,74.11,75.17,76.13,76.72,77.26,77.85,78.68,80.18,81.31"
"New Caledonia,50.74,54.60,58.03,61.05,63.69,66.03,68.08,69.88,71.45,72.83,74.07,75.12,76.26"
"New Zealand,69.76,70.68,71.18,71.26,71.77,72.62,73.78,74.46,76.35,77.58,79.08,80.32,81.33"
"Nicaragua,42.30,45.45,48.68,51.99,55.29,57.65,59.50,62.23,66.16,68.53,70.96,72.84,74.47"
"Niger,34.50,34.81,35.29,35.62,36.32,37.75,40.26,42.27,45.01,48.36,51.42,54.91,58.53"
"Nigeria,33.81,35.80,38.13,39.97,42.03,44.29,46.02,45.95,45.87,46.00,46.94,49.75,51.88"
"North Korea,37.60,49.88,51.63,57.24,61.73,65.04,67.06,68.59,70.02,63.49,68.06,68.44,70.79"
"Norway,72.80,73.48,73.47,73.92,74.43,75.31,76.01,76.28,77.29,78.30,79.34,80.61,81.61"
"Oman,36.05,40.54,44.71,48.55,52.25,57.35,61.90,65.60,68.43,70.98,73.20,75.02,76.21"
"Pakistan,37.04,42.73,47.49,51.25,54.14,56.11,57.76,59.30,60.76,62.08,63.33,64.37,65.86"
"Palestine,46.59,48.23,50.75,54.09,57.45,60.99,64.40,67.11,68.85,70.29,71.17,72.03,72.86"
"Panama,56.80,59.50,62.15,64.36,66.74,69.22,70.99,72.38,73.55,74.60,75.54,76.36,77.32"
"Papua New Guinea,38.31,40.93,43.04,46.87,50.12,53.71,57.12,58.07,59.72,61.10,62.59,64.18,64.97"
"Paraguay,62.76,63.33,64.50,65.08,65.96,66.55,67.11,67.64,68.54,69.44,70.80,71.79,72.78"
"Peru,43.93,46.30,49.14,51.52,55.55,58.53,61.59,64.33,66.79,69.31,71.65,73.19,74.20"
"Philippines,55.43,57.09,58.62,60.08,61.41,61.67,62.87,64.70,65.70,66.78,67.49,68.04,68.61"
"Poland,61.44,65.89,68.31,69.79,70.28,70.35,70.70,70.73,71.15,72.72,74.60,75.56,76.99"
"Portugal,60.30,62.37,64.46,66.37,68.32,70.39,72.51,74.03,74.88,75.99,77.58,79.29,80.51"
"Puerto Rico,63.54,67.92,69.12,70.72,72.35,73.52,73.89,74.59,73.83,74.87,76.78,77.84,79.21"
"Qatar,55.19,59.16,62.89,66.60,69.70,71.80,73.36,74.51,75.34,75.96,76.57,76.90,77.64"
"Congo,43.15,46.83,50"
