Name, Country, Age, Death_year, Death_cause
Benjamin_M._Palmer, United States, 33, 1902, Unknown
Benjamin_Moloise, Unknwon, 30, 1985, Unknown
Benjamin_S._Ruffin,_Jr., United States, 65, 2006, Unknown
Bernard_Frank_(wilderness_activist), United States, 62, 1964, Unknown
Bernard_G._Segal, United States, 90, 1997, Unknown
Bernard_Lee_(activist), Unknwon, 56, 1991, Unknown
Bernard_O'Dowd, Unknwon, 56, 1953, Unknown
Bernice_Fisher, United States, 50, 1966, Unknown
Bernie_Banton, Australia, 61, 2007, Unknown
Bert_Bissell, United Kingdom, 96, 1998, Unknown
Bertha_Gilkey, Unknwon, 65, 2014, Cancer
Bertha_Ronge, Unknwon, 65, 1863, Unknown
Berthe_Zimmermann, Switzerland, 35, 1937, Unknown
Bessie_Rischbieth, Switzerland, 35, 1967, Unknown
Betty_Cameron, Australia, 93, 2011, Unknown
Betty_Fox, Unknwon, 74, 2011, Unknown
Betty_Hill_(civil_rights_leader), United States, 78, 1960, Unknown
Betty_Wagner_Spandikow, United States, 85, 2008, Unknown
Bhagawati_Devi_Sharma, India, 68, 1994, Unknown
Biljana_Kovačević-Vučo, Serbia, 58, 2010, Unknown
Bill_Bailey_(Spanish_Civil_War_veteran), United States, 84, 1995, Unknown
Bill_Compton, United States, 62, 2007, Unknown
Bill_Kraus, United States, 39, 1986, Unknown
Bill_Onus, Australia, 62, 1968, Coronary occlusion
Billy_Frank,_Jr., Unknwon, 83, 2014, Unknown
Biofilo_Panclasta, Unknwon, 83, 1943, Unknown
Birger_Forell, Sweden, 65, 1958, Unknown
Biswanath_Pattnaik, India, 94, 2010, Unknown
Blair_Clark, United States, 83, 2000, Unknown
Blanche_Ames_Ames, United States, 83, 1969, Unknown
Blanche_Armwood, United States, 49, 1939, Unknown
Bob_Basker, United States, 83, 2001, Unknown
Bob_Gould_(activist), Australia, 74, 2011, Unknown
Bob_Hattoy, United States, 57, 2007, Unknown
Bob_Kohler, United States, 81, 2007, Unknown
Bob_Marshall_(wilderness_activist), Unknwon, 38, 1939, Unknown
Bob_McCoskrie, Unknwon, 51, 2015, Unknown
Bobby_Gore, United States, 77, 2013, Chronic obstructive pulmonary disease
Bolton_Hall_(activist), United States, 77, 1938, Unknown
Borghild_Hammerich, Norway, 77, 1978, Unknown
Brajlal_Biyani, India, 72, 1968, Unknown
Brenden_Foster, United States, 11, 2008, Leukemia
Brian_Coyle, Unknwon, 47, 1991, Unknown
Bridget_Gilling, Australia, 87, 2009, Unknown
Bridget_Moran, Canada, 76, 1999, Unknown
Brittany_Maynard, United States, 30, 2014, ['Brain tumor', 'Oregon Ballot Measure 16 (1994)']
Bronisław_Hager, Poland, 79, 1969, Unknown
Bronisław_Szwarce, Poland, 79, 1904, Unknown
Bronisław_Zaleski, Poland, 79, 1880, Unknown
Brownie_Ledbetter, United States, 78, 2010, Unknown
Bruce_Kenrick, Unknwon, 87, 2007, Unknown
Bruce_R._Watkins, Unknwon, 56, 1980, Unknown
Bruce_W._Klunder, Unknwon, 27, 1964, Unknown
Bruno_Thériault, Canada, 88, 2005, Unknown
Bryan_Law, Australia, 59, 2013, Unknown
Bud_Osborn, Canada, 67, 2014, Unknown
Buddy_Gray, United States, 46, 1996, Unknown
Børre_Knudsen, Norway, 77, 2014, Unknown
B._G._Horniman, Norway, 77, 1948, Unknown
Baba_Kharak_Singh, Norway, 77, 1963, Unknown
Babikir_Badri, Norway, 77, 1954, Unknown
Babu_Genu_Said, India, 22, 1930, Unknown
Babubhai_P._Vaidya, India, 70, 1979, Unknown
Bai_Bureh, India, 70, 1908, Unknown
Bajram_Kelmendi, Albania, 62, 1999, Unknown
Charles_S._Zimmerman, United States, 87, 1983, Unknown
Charleszetta_Waddles, United States, 89, 2001, Unknown
Chaudhry_Niaz_Ali_Khan, United States, 89, 1976, Unknown
Chauncey_Yellow_Robe, United States, 89, 1930, Unknown
Chef_Ra, United States, 56, 2006, Unknown
Cherukad, India, 62, 1976, Unknown
Cheryl_Miller_(activist), United States, 57, 2003, Unknown
Cheryl_Spector, United States, 49, 2007, Myeloid leukemia
Chester_Poe_Cornelius, United States, 49, 1933, Unknown
Chicka_Dixon, Australia, 82, 2010, Unknown
Chittu_Pandey, Australia, 82, 1946, Unknown
Cho_Man-sik, Unknwon, 67, 1950, Unknown
Choi_Jungsook, Unknwon, 75, 1977, Unknown
Chow_Ching-Wen, Unknwon, 77, 1985, Unknown
Chris_Gray_(situationist), Unknwon, 67, 2009, Unknown
Chris_Harman, Egypt, 67, 2009, Unknown
Chris_Iijima, United States, 57, 2005, Unknown
Chris_Lightfoot, United Kingdom, 29, 2007, Unknown
Chris_Mulford, United States, 70, 2011, Unknown
Chris_de_Broglio, Unknwon, 84, 2014, Unknown
Christabel_Marshall, Unknwon, 84, 1960, Unknown
Christian_Führer, Germany, 71, 2014, Unknown
Christian_Jollie_Smith, Australia, 78, 1963, Unknown
Christina_Allan_Massey, Australia, 78, 1932, Unknown
Christine_Jackson, United Kingdom, 71, 2013, Unknown
Christopher_Tietze, Unknwon, 76, 1984, Unknown
Chunibhai_Vaidya, India, 96, 2014, Unknown
Chunilal_Vaidya, India, 96, 2014, Unknown
Cindy_Duehring, United States, 37, 1999, Unknown
Cindy_Marano, Unknwon, 58, 2005, Unknown
Claire_Morissette, Canada, 57, 2007, Unknown
Clara_Fraser, United States, 75, 1998, Unknown
Clare_Hodges, United Kingdom, 54, 2011, Unknown
Clare_Oliver, Australia, 26, 2007, Unknown
Clarence_M._Mitchell,_Jr., United States, 73, 1984, Unknown
Clark_Adams, Unknwon, 38, 2007, Unknown
Clarrie_Isaacs, Australia, 55, 2003, Unknown
Claudia_Cockburn, United Kingdom, 65, 1998, Unknown
Claudia_Jones, United Kingdom, 49, 1964, Unknown
Claudine_Dianne_Ryce, United States, 66, 2009, Unknown
Clennon_Washington_King,_Jr., United States, 80, 2000, Unknown
Clennon_Washington_King,_Sr., United States, 84, 1975, Unknown
C._Bette_Wimbish, United States, 85, 2009, Unknown
C._L._Franklin, United States, 69, 1984, Unknown
Clyde_Warrior, United States, 29, 1968, Unknown
Colin_Legum, Unknwon, 84, 2003, Unknown
Colonel_Stone_Johnson, United States, 94, 2012, Unknown
Conn_McCluskey, Unknwon, 99, 2013, Unknown
Connie_Birchfield, Unknwon, 96, 1994, Unknown
Conrad_Lynn, United States, 87, 1995, Unknown
Constance_Duncan, Australia, 74, 1970, Unknown
Constance_Stone, Australia, 74, 1902, Unknown
Constantine_Overton, Australia, 74, 1700, Unknown
Constantinos_Speras, Greece, 50, 1943, Unknown
Corbin_Harney, United States, 87, 2007, Unknown
Cordelia_Ray, United States, 87, 1916, Unknown
Cordell_Reagon, United States, 53, 1996, Unknown
Cosmas_Desmond, Unknwon, 77, 2012, Unknown
Craig_Rodwell, United States, 53, 1993, Stomach cancer
Cristina_Trivulzio_Belgiojoso, United States, 53, 1871, Unknown
Crystal_Lee_Sutton, United States, 69, 2009, Unknown
Curtis_Cooper_(civil_rights_leader), United States, 68, 2000, Unknown
Cyrus_Field_Willard, United States, 68, 1942, Unknown
Cyrus_Prindle, United States, 68, 1885, Unknown
C._S._Ranga_Iyer, India, 68, 1963, Unknown
C._V._Subbarao, India, 41, 1994, Unknown
Callie_House, India, 41, 1928, Unknown
Carl_Amery, Germany, 83, 2005, Unknown
Carl_Augustus_Hansberry, United States, 51, 1946, Unknown
Carl_Braden, United States, 61, 1975, Unknown
Carl_Giordana, United States, 81, 2003, Unknown
Carl_Wittman, United States, 43, 1986, Unknown
Carlo_Armellini, United States, 43, 1863, Unknown
Carlo_Rosselli, Unknwon, 38, 1937, Unknown
Carlos_Montezuma, Unknwon, 38, 1923, Unknown
Carlos_Mugica, Unknwon, 44, 1974, Unknown
Carmelo_Delgado_Delgado, Spain, 24, 1937, Unknown
Carmen_Rupe, Unknwon, 75, 2011, Unknown
Carol_Weiss_King, United States, 57, 1952, Unknown
Carolina_Muzzilli, Unknwon, 28, 1917, Unknown
Caroline_Ashurst_Stansfeld, Unknwon, 28, 1885, Unknown
Caroline_Decker, United States, 80, 1992, Unknown
Caroline_Emily_Clark, United States, 80, 1911, Unknown
Caroline_Farner, United States, 80, 1913, Unknown
Caroline_Weldon, United States, 80, 1921, Unknown
